OTU_ID	IN_130_MCB_26_S_ITS_S70	IN_130_MCB_2_S_ITS_S69	IN_130_MCB_9_S_ITS_S22	IN_132_MCB_16_S_ITS_S23	IN_132_MCB_17_S_ITS_S71	IN_132_MCB_27_S_ITS_S24	IN_272_MCB_10_S_ITS_S31	IN_272_MCB_11_S_ITS_S79	IN_272_MCB_24_S_ITS_S72	IN_55_MCB_6_S_ITS_S20	IN_55_MCB_7_S_ITS_S68	IN_55_MCB_8_S_ITS_S21	IN_WT_MCB_28_S_ITS_S32	IN_WT_MCB_29_S_ITS_S80	IN_WT_MCB_33_S_ITS_S33	TN_130_A_S_ITS_S35	TN_130_B_S_ITS_S83	TN_130_C_S_ITS_S36	TN_132_A_S_ITS_S84	TN_132_B_S_ITS_S43	TN_132_C_S_ITS_S91	TN_272_A_S_ITS_S44	TN_272_B_S_ITS_S92	TN_272_C_S_ITS_S45	TN_55_A_S_ITS_S81	TN_55_B_S_ITS_S34	TN_55_C_S_ITS_S82	TN_LS_1_S_ITS_S93	TN_LS_2_S_ITS_S46	TN_LS_3_S_ITS_S94	TN_WT_MB_19_S_ITS_S47	TN_WT_MB_20_S_ITS_S95	TN_WT_MB_21_S_ITS_S48	WA130_BNL_20_S_ITS_S9	WA132_RN_7_S_ITS_S57	WA132_RN_8_S_ITS_S10	WA272_BNL_17_S_ITS_S59	WA272_BNL_18_S_ITS_S12	WA272_RN_10_S_ITS_S11	WA_55_BNL_19_S_ITS_S8	WA_55_RN_1_S_ITS_S7	WA_55_RN_2_S_ITS_S55	WA_WT_BNL_21_S_ITS_S60	WA_WT_BNL_22_S_ITS_S19	WA_WT_BNL_23_S_ITS_S67	taxonomy
Otu00021	283	616	170	178	500	494	150	47	871	0	1115	260	643	344	464	285	85	100	90	135	83	15	114	347	100	136	60	182	395	105	171	57	439	0	0	0	0	0	0	0	0	0	0	0	498	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);s__Penicillium_thiersii(100);
Otu00022	63	86	33	106	86	41	638	68	55	116	158	32	428	31	104	308	228	38	54	113	112	100	49	142	68	92	96	69	61	42	164	75	155	93	186	479	47	889	1420	605	733	515	80	36	72	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);f__Didymellaceae_unclassified(76);f__Didymellaceae_unclassified(76);
Otu00023	0	0	24	20	0	0	2	21	14	161	5	27	6	22	0	2	0	25	6	47	0	59	5	0	4	0	128	217	36	12	22	23	0	507	361	703	1030	1278	201	993	518	961	730	184	0	k__Fungi(100);p__Mortierellomycota(100);c__Mortierellomycetes(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_alpina(100);
Otu00024	756	292	334	353	898	635	93	0	657	0	156	1089	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2214	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Stachybotryaceae(100);g__unclassified_Stachybotryaceae(100);s__Stachybotryaceae_sp(100);
Otu00025	122	158	263	233	110	64	32	151	312	310	46	158	92	93	329	141	64	204	124	145	11	46	44	245	140	61	92	79	218	79	106	127	0	1322	98	242	352	209	406	198	175	147	529	206	168	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Exophiala(100);s__Exophiala_equina(100);
Otu00026	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	768	555	435	1604	293	1768	524	710	283	113	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);
Otu00027	563	374	305	230	559	879	124	4	308	13	506	833	295	53	9	1	4	89	6	12	2	3	19	0	10	7	2	14	2	14	0	0	24	632	6	0	446	0	334	4	1	0	378	1	450	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Cucurbitariaceae(100);g__Pyrenochaetopsis(100);s__Pyrenochaetopsis_leptospora(100);
Otu00028	13	872	0	3	160	495	30	0	1	1006	280	2	0	0	0	0	0	0	0	0	102	0	85	0	0	297	0	0	0	0	0	0	445	0	1162	0	541	121	4	26	1644	0	0	326	1	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Chaetomiaceae(100);f__Chaetomiaceae_unclassified(100);f__Chaetomiaceae_unclassified(100);
Otu00029	0	0	276	5	407	4	287	379	26	0	74	50	145	126	0	97	206	53	613	373	0	180	0	136	603	75	226	1044	328	644	327	751	0	0	84	263	0	108	0	360	38	111	0	0	169	k__Fungi(100);p__Mortierellomycota(100);c__Mortierellomycetes(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);g__Mortierella_unclassified(99);
Otu00030	0	0	0	0	0	0	7711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Pezizomycetes(100);o__Pezizales(100);f__Pyronemataceae(100);g__Pulvinula(100);s__Pulvinula_sp(100);
Otu00031	483	396	664	232	143	386	435	52	102	228	324	170	1859	39	205	397	4	32	5	44	213	0	154	0	95	688	0	63	17	12	2	79	110	112	8	216	33	38	50	84	41	53	27	58	1	k__Fungi(100);p__Mortierellomycota(100);c__Mortierellomycetes(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_alpina(100);
Otu00032	26	46	12	33	14	18	3	21	18	1199	75	26	41	23	30	9	35	2	12	12	23	3	18	144	206	149	29	11	71	83	31	4	16	40	253	62	491	148	876	242	713	114	343	820	5	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Sporormiaceae(100);g__Preussia(100);s__Preussia_flanaganii(100);
Otu00033	3	6	0	3	1	7	0	0	2	0	4	0	0	6	0	4	4	13	3	364	2	2	9	0	2	6	1	2658	1	2408	4	2086	0	3	0	3	0	3	0	11	2	5	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Metarhizium(100);s__Metarhizium_anisopliae(100);
Otu00034	68	74	0	0	0	114	19	0	0	0	18	0	103	0	1	5	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	312	0	1905	1	0	386	0	519	928	1041	1	0	1	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);o__Sordariales_unclassified(100);o__Sordariales_unclassified(100);o__Sordariales_unclassified(100);
Otu00035	47	42	62	68	38	6	42	725	29	147	16	29	85	195	31	0	267	132	228	515	80	263	76	762	343	4	352	99	276	115	451	156	1054	5	0	0	16	0	0	0	0	0	7	94	13	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Chaetomiaceae(100);g__Chaetomium(100);s__Chaetomium_sp(98);
Otu00036	0	0	0	0	0	0	0	670	0	0	0	0	0	32	0	0	1533	120	1028	83	0	1647	0	111	41	0	295	3	6	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Rozellomycota(100);c__Rozellomycotina_cls_Incertae_sedis(100);o__GS11(100);f__unclassified_GS11(100);g__unclassified_GS11(100);s__GS11_sp(100);
Otu00037	9	19	298	351	106	121	10	0	113	27	15	228	540	5	338	126	0	10	0	0	0	29	29	0	0	11	0	0	20	0	0	0	11	375	105	325	332	172	228	86	175	26	770	44	43	k__Fungi(100);p__Mortierellomycota(100);c__Mortierellomycetes(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_elongata(100);
Otu00038	5	4	0	0	0	0	0	0	0	3	0	0	3	0	10	7	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1036	74	6	326	0	52	560	1788	6	119	0	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);s__Penicillium_bialowiezense(100);
Otu00039	41	26	131	269	85	446	65	157	46	1	43	137	90	185	63	145	189	105	383	221	228	104	285	20	192	22	63	354	390	201	69	461	1	0	4	4	2	8	0	2	27	8	0	1	118	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Clavicipitaceae(100);g__Metarhizium(100);s__Metarhizium_marquandii(100);
Otu00040	0	0	0	0	1	0	0	573	0	0	2	0	0	339	0	0	669	93	776	593	155	146	110	92	354	0	135	349	445	53	137	95	129	0	0	0	0	0	0	0	0	0	0	0	1	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Lophiostomataceae(100);f__Lophiostomataceae_unclassified(100);f__Lophiostomataceae_unclassified(100);
Otu00041	1	12	0	0	0	0	2	0	0	29	0	45	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783	0	0	723	0	495	0	0	0	1334	823	1	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Psathyrellaceae(100);g__Psathyrella(100);s__Psathyrella_sp(96);
Otu00042	0	0	0	0	0	0	0	117	1	0	0	0	0	802	0	0	210	193	1065	510	1	416	0	45	199	0	188	198	367	42	240	231	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Chytridiomycota(100);c__Rhizophydiomycetes(97);o__Rhizophydiales(97);o__Rhizophydiales_unclassified(97);o__Rhizophydiales_unclassified(97);o__Rhizophydiales_unclassified(97);
Otu00043	2	0	0	4	0	2	2	77	8	0	0	0	0	1	4	0	2	393	1	4	0	4340	0	17	1	0	0	0	278	0	4	0	36	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Lophiotremataceae(100);g__Lophiotrema(100);s__Lophiotrema_rubi(100);
Otu00044	17	15	1	7	11	16	24	40	69	5	35	6	20	10	140	90	6	0	15	9	217	5	66	23	31	69	0	531	21	153	1	6	252	774	17	38	329	15	726	17	5	2	663	0	46	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);g__Volutella(100);g__Volutella_unclassified(100);
Otu00045	545	257	3	11	27	171	95	3	26	15	1467	20	162	8	25	3	0	12	4	0	152	0	23	0	1	6	0	0	0	0	0	0	0	1	248	8	18	10	12	23	236	11	184	206	11	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Glomerellales(100);f__Plectosphaerellaceae(100);g__Plectosphaerella(100);s__Plectosphaerella_cucumerina(100);
Otu00046	158	79	169	23	7	16	155	0	117	100	0	300	154	7	99	86	0	0	0	0	19	0	0	0	0	179	4	0	0	0	0	3	37	648	25	112	217	197	74	95	130	465	34	183	95	k__Fungi(100);p__Mortierellomycota(100);c__Mortierellomycetes(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_exigua(100);
Otu00047	0	0	32	0	3469	7	0	0	137	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	k__Fungi(100);p__Rozellomycota(100);c__Rozellomycotina_cls_Incertae_sedis(100);o__GS11(100);f__unclassified_GS11(100);g__unclassified_GS11(100);s__GS11_sp(100);
