,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.05.r0.6,p0.01.r0.6,p0.005.r0.6,p0.001.r0.6,p0.05.r0.8,p0.01.r0.8,p0.005.r0.8,p0.001.r0.8
Botu0071,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,NA,Botu0071,1,1,1,0,1,1,1,0
Botu0170,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,NA,Botu0170,1,0,1,0,1,1,1,0
Botu0219,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae_unclassified,NA,Botu0219,1,1,0,0,0,0,0,0
Botu0240,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,NA,Botu0240,1,0,0,0,0,0,0,0
Botu0253,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA,Botu0253,1,1,1,0,1,1,1,0
Botu0274,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,NA,Botu0274,1,0,1,0,1,1,1,0
Botu0347,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae_unclassified,NA,Botu0347,1,1,1,0,0,0,0,0
Botu0077,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,Botu0077,1,0,0,0,0,0,0,0
Botu0120,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_unclassified,NA,Botu0120,1,1,1,0,0,0,0,0
Botu0454,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,NA,Botu0454,1,1,1,0,0,0,0,0
Otu0274,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,o__Pleosporales_unclassified,o__Pleosporales_unclassified,o__Pleosporales_unclassified,Otu0274,1,0,0,0,0,0,0,0
Otu0019,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0019,1,1,1,0,1,1,1,0
Otu0068,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0068,1,1,0,0,0,0,0,0
Otu0167,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0167,1,1,0,0,0,0,0,0
Botu0008,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,NA,Botu0008,1,1,0,0,0,0,0,0
Botu0035,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,Botu0035,1,1,1,0,1,1,1,0
Botu0148,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA,Botu0148,1,1,1,0,1,1,1,0
Botu0214,Bacteria,Chloroflexi,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,NA,Botu0214,1,1,1,0,0,0,0,0
Otu0066,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Rhinocladiella,s__Rhinocladiella_sp,Otu0066,1,1,0,0,0,0,0,0
Otu0221,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Caliciales,f__Physciaceae,g__Physciella,s__Physciella_chloantha,Otu0221,1,0,1,0,0,0,0,0
Otu0357,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae,f__Phaeomoniellaceae_unclassified,f__Phaeomoniellaceae_unclassified,Otu0357,1,1,1,0,0,0,0,0
