,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.05.r0.6,p0.01.r0.6,p0.005.r0.6,p0.001.r0.6,p0.05.r0.8,p0.01.r0.8,p0.005.r0.8,p0.001.r0.8
Botu0616,Bacteria,Cyanobacteria,Melainabacteria,Vampirovibrionales,Vampirovibrionales_fa,Vampirovibrionales_ge,NA,Botu0616,0,0,0,0,1,1,1,0
Botu0617,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,NA,Botu0617,0,0,0,0,1,1,1,0
Botu0641,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidobacteriaceae_(Subgroup_1)_unclassified,NA,Botu0641,0,1,1,0,1,1,1,0
Botu0695,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,NA,Botu0695,0,0,0,0,1,1,1,0
Botu0168,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA,Botu0168,0,0,0,0,1,1,1,0
Botu0495,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Nostoc_PCC-73102,NA,Botu0495,0,0,0,0,1,1,1,0
Botu0268,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,NA,Botu0268,0,0,1,0,1,1,1,0
Botu0427,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified,NA,Botu0427,0,0,1,0,1,1,1,0
Botu0373,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_unclassified,NA,Botu0373,0,0,0,0,1,1,1,0
Botu0289,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,uncultured,NA,Botu0289,0,1,1,0,1,1,1,0
Botu0645,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,NA,Botu0645,0,0,0,0,1,1,1,0
Botu0703,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,NA,Botu0703,0,0,0,0,1,1,1,0
Botu0966,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae_unclassified,NA,Botu0966,0,0,0,0,1,1,1,0
Botu0473,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter,NA,Botu0473,0,0,0,0,1,1,1,0
Botu0531,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,NA,Botu0531,0,0,0,0,1,1,1,0
Botu0763,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporiaceae_unclassified,NA,Botu0763,0,0,0,0,1,1,1,0
Otu0029,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Togniniales,f__Togniniaceae,g__Phaeoacremonium,g__Phaeoacremonium_unclassified,Otu0029,0,1,1,0,1,1,1,0
Otu0083,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0083,0,0,0,0,1,1,1,0
Otu0230,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,o__Capnodiales_unclassified,o__Capnodiales_unclassified,o__Capnodiales_unclassified,Otu0230,0,0,1,0,1,1,1,0
Otu0280,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,Otu0280,0,0,0,0,1,1,1,0
Otu0298,k__Fungi,p__Ascomycota,c__Sordariomycetes,c__Sordariomycetes_unclassified,c__Sordariomycetes_unclassified,c__Sordariomycetes_unclassified,c__Sordariomycetes_unclassified,Otu0298,0,0,0,0,1,1,1,0
